renters,description
Pelanet Celluler,"Informasi Produk TaffLED Headlamp Flashlight Waterproof LED 3 Modes COB - CH-2016 Lampu dengan 3 mode pencahayaan, Headlamp ini berbentuk mini dan dapat di ikatkan di kepala Anda, membantu penelusuran di tempat gelap, dan perjalanan di malam hari. Fitur 3 Modes Senter Terdapat 3 mode pencahayaan lampu yang dapat Anda gunakan untuk menerangi perjalanan Anda dimalam hari atau di tempat gelap. Pilahan Warna Terdapat banyak pilihan warna headlamp yang dapat Anda miliki dan dapat digunakan di dalam suatu grup pencarian. Pengaturan Strap Kepala Ikatan kepala dari Headlamp LED flashlight ini dapat diatur menyesuaikan dengan bentuk kepala Anda. Baterai AAA Anda dapat menggunakan AAA batteries untuk penjelajahan yang lebih lama dengan headlamp ini, Anda bisa mengkombinasikan kapasitas baterai agar dapat digunakan dalam jangka waktu yang lama. Tahan Air Senter kepala ini anti air, Anda dapat menggunakannya di daerah yang berair ataupun ketika hujan. Spesifikasi TaffLED Headlamp Flashlight Waterproof LED 3 Modes COB - CH-2016 Lumens 400 Lumens Tipe Baterai 3 X AAA Dimensi Strap: 38 X 25 cm lamp: 6.5 X 4.5 X 3 cm Lain-lain 3 Watt"
Pelanet Celluler,"Headlamp dengan strap flexible yang muat berbagai ukuran kepala dan nyaman digunakan dalam sesi penggunaan yang lama. Headlamp ini juga menggunakan 7 buah LED XPG sehingga cahaya yang dihasilkan sangatlah terang. FITUR 7 x XPG LED Headlamp ini menggunakan 7 buah LED XPG yang dapat menghasilkan cahaya sangat terang. 4 Mode Headlamp ini memiliki 4 mode senter yang terdiri dari main light on, side light on, all on dan strobe. Desain Strap yang Nyaman Strap pada kepala terbuat dari bahan kain yang halus dan kuat. sehingga kepala Anda tidak sakit namun tetap kuat menahan beban lampu saat Anda sedang bergerak. Bahan Berkualitas Seluruh badan senter dibuat dengan bahan plastik ABS tebal yang membuat senter LED memiliki durabilitas yang sangat baik. Baterai Isi Ulang Headlamp ini menggunakan baterai isi ulang 800mAh sehingga tidak perlu repot gonta-ganti baterai. Cukup mengisi baterai dengan mencolok kabel USB. PACKAGE CONTENTS Rincian yang Anda dapatkan untuk pembelian produk ini: 1 x AMARYLLIS Senter LED Kepala Headlamp 7 XPG - F-T26 1 x Kabel Micro USB"
Pelanet Celluler,"Senter kepala ini hadir dengan strap fleksibel yang dapat digunakan untuk berbagai ukuran kepala dan nyaman digunakan dalam sesi penggunaan yang lama. Senter ini juga menggunakan 5 buah LED XPG sebagai sumber pencahayaan. Fitur 5 x XPG LED Senter kepala ini menggunakan 5 buah LED XPG yang dapat menghasilkan cahaya sangat terang. 3 Mode Senter kepala ini memiliki 3 mode senter yang terdiri dari strong light, low light dan all light flash. Desain Strap yang Nyaman Strap terbuat dari bahan paduan kain dan karet lentur, halus dan kuat, sehingga kepala Anda tidak sakit namun tetap kuat menahan beban lampu saat Anda sedang bergerak. Bahan Berkualitas Seluruh badan senter dibuat dengan bahan plastik tebal yang membuat senter LED memiliki daya tahan yang sangat baik. Baterai Isi Ulang Senter kepala ini menggunakan baterai isi ulang 800 mAh sehingga tidak perlu repot gonta ganti baterai. Cukup mengisi baterai dengan menghubungkan kabel micro USB ke bodi senter. Kelengkapan Produk Rincian yang Anda dapatkan untuk pembelian produk ini: 1 x AMARYLLIS Senter LED Kepala Headlamp 5 XPG - F-T21 1 x Kabel Micro USB"
Surya Lighting Official store,"Surya SYH L155C Senter Kepala LED / Headlamp Rechargeable *Menggunakan Chip LED Super 15W dengan jarak sorot yang tajam hingga 100 meter. *Tahan terhadap guyuran air hujan sehingga dapat digunakan untuk pemakaian outdoor. *Baterai yang dapat dicas ulang hingga 1000x, dengan perlindungan Overcharge Protection, yang dapat memutuskan arus pengisian secara otomatis jika baterai sudah terisi penuh, agar umur baterai tetap terjaga. *Pengecasan menggunakan kabel micro USB yang lebih praktis. *Tipe LED: LED Super *Warna LED: Putih *Baterai: Lithium 18650 *Kapasitas: 3.7V 2000mAh *Lama Penggunaan: 15 Jam *Waktu Pengecasan: 5 Jam *Bahan Produk: ABS *Diameter Lampu: 50mm *Dimensi Lampu: 80 x 72.5 x 50 mm *Aksesoris: Kabel Micro USB & Karet Ikat Kepala	 *Aplikasi :Perbengkelan, Pertambangan, Proyek Bangunan, Berburu, Memancing, Mendaki, Teknisi, dll. Note : *Selama barang kami masih terpajang maka barang masih ready stock *Pesanan akan diproses maksimal dikirim 2 x 24 jam. *Mohon untuk buat Video Unboxing saat paket dibuka untuk menghindari kesalahan produk/ kurang barang. Karena mohon maaf, kami tidak menerima komplainan jika ada barang yang rusak atau salah kirim tanpa Video Unboxing. *Mohon Kotak dan Bukti pembelian disimpan untuk mempermudah dan mempercepat klaim garansi jika diperlukan. Informasi mengenai : *Kebijakan Garansi & Retur *Jadwal pengiriman produk *FAQ (Frequently ask Question) dapat di baca di informasi toko https://www.tokopedia.com/suryalighting Membeli berarti setuju dan mengikuti peraturan Surya Lighting Official Store"
TriMeow,"Selamat datang di Trimeow Tempat berbagai macam perlengkapan rumah tangga terlengkap di jakarta Barang Ready ya ka. Produk : Senter Lampu Kepala LED Headlamp Battery Lithium -Kualitas bahan bagus -Tahan air -Harga terjangkau -Packing aman dengan kotak -Warna cahaya putih / kuning -Tingkat terang cahaya dengan 2 step ( terang sedang dan terang sekali ) Spesifikasi 20 watt : - Warna cahaya : putih / kuning - BateraiI : lithium 1400mah - Dapat menyala hingga 30 jam - Tingkat terang cahaya dengan 2 step  ( terang sedang dan terang sekali ) - Termasuk charger dan tali kepala Spesifikasi 50 watt : - Warna cahaya : putih / kuning - Ukuran : 5,5cm x 6,5cm  x 4,5cm - Baterai : lithium 2600mah - Dapat menyala hingga 30 jam - Tingkat terang cahaya dengan 2 step  ( terang sedang dan terang sekali ) - Termasuk charger dan tali kepala Isi dalam box : - 1 Unit headlamp - 1 Unit charger - 1 Set ban untuk pengikat di kepala - Kalau beli yang bonus bohlam maka dapat bohlam* Untuk awal pemakaian, mohon di charger dahulu sekitar 8-10 jam. NOTE : Jika ingin lebih aman dalam pengiriman disarankan untuk menambahkan ekstra bubble, karena jika produk pecah, penyok,dll, jika tidak dengan ekstra bubble maka kami tidak tanggung !! Link ekstra bubble : https://www.tokopedia.com/trimeow/extra-bubble-wrap-tambahan-agar-paket-lebih-aman 📣 Waktu Terakhir Pesanan : ✅ Senin s/d Sabtu : Batas Order Max Jam 4 Sore. ✅ Khusus Grab / Gosend (Pengiriman Instant) Max Jam 2 Sore ✅ Hari Minggu Dan Tanggal Merah Toko Tutup / Libur. ✅ Jika Order Diluar Waktu Diatas, Dikirim Hari Esoknya. Terimakasih."
Back to climbing,"Lampu depan PIXA 3 kokoh dan serbaguna. Multi-beam beradaptasi dengan semua situasi: kerja jarak dekat, gerakan, dan penglihatan jarak jauh. Teknologi PENCAHAYAAN KONSTAN: kecerahan tidak berkurang secara bertahap karena baterai terkuras. Ini memenuhi persyaratan sertifikasi zona ATEX 2/22 (II 3 GD Ex nA ic IIB T4 Gc tc IIIC T135 °C Dc) untuk bekerja di lingkungan yang mudah meledak. Description : * Headlamp keeps hands free for work and can be: - worn on the head with the headband - attached to the helmet with a mounting plate (included) - placed on the ground * CONSTANT LIGHTING technology ensures brightness that does not gradually decrease as the battery drains * Several lighting modes adapt to each situation: - a mode adapted for close-range work: uniform flood beam - a mode adapted for movement: mixed beam with focused component allows user to move around comfortably - a mode adapted for long-range vision: focused beam * Lighting for professionals that is reliable, practical and durable: - automatically switches to reserve mode when batteries are almost drained (signaled by blinking light and red indicator) - rotating knob that is ergonomic, even with gloves - storage position helps protect the headlamp lens and prevents inadvertently turning it on - may be used in explosive environments - excellent resistance to falls (2 m), impacts, and crushing (80 kg) - comfortable and washable elastic headband - resistant to chemicals * ATEX zone 2/22 (II 3 GD Ex nA ic IIB T4 Gc tc IIIC T135°C Dc) certified headlamp Specifications : - Weight: 160 g - Technology: CONSTANT LIGHTING - Beam pattern: flood, mixed or focused - Energy: 2 AA/LR06 batteries (included) - Battery compatibility: rechargeable Ni-MH and lithium - Watertightness: IP67 (waterproof to -1 meter for 30 minutes; no maintenance required after immersion)"
UNITED JAYA,"-Baterai 18650 bagus dan murah menbuat pemakaian jadi berjam2  https://www.tokopedia.com/uni/batrei-isi-ulang-cas-18650-3-7-v-biru Headlamp LED Cree XML-T6 HD-LD T11 ISI DIDALAM PAKET : 1 Buah Senter Kepala / Headlamp XML-T6 HD 1 Buah Charger Colok 2 Buah Baterai 18650 (Recharger/Dapat di cas) Merk Baterai Random tergantung stok Informasi Produk High Power Headlamp LED Cree XML-T6 - HD-LD Headlamp dengan strap flexible yang muat berbagai ukuran kepala. LED senter menggunakan Cree yang dapat menghasilkan cahaya sangat terang. Headlamp tetap nyaman digunakan dalam sesi penggunaan yang lama. Features Cree LED Headlamp ini menggunakan Cree yang dapat menghasilkan cahaya terang dan lifetime LED yang sangat lama. 90 Degree Rotation Headlamp dapat digerakkan keatas bawah hingga 90 derajat sehingga jangkauan cahaya semakin besar. Comfortable Straps Strap pada kepala terbuat dari bahan kain yang halus dan kuat. Sehingga kepala Anda tidak sakit namun tetap kuat menahan beban lampu saat Anda sedang bergerak. Aero Grade Aluminum Body Seluruh badan senter dibuat dengan bahan aero grade aluminum yang membuat senter LED ini memiliki cooling sistem yang lebih dingin dibanding senter lain. Package Contents 1 x High Power Headlamp LED Cree Spesifikasi High Power Headlamp LED Cree XML-T6 - HD-LD Tipe LED Cree XML-T6 Tipe Baterai 2 X 18650 Material Aircraft Grade Aluminum Alloy coated Mineral Glass Dimensi Diameter kepala senter: 35 mm PENTING UNTUK DIBACA!! Jika pemesanan sudah tiba mohon dapat membuat video unboxing dan foto packing pada saat pemesanan diterima. Video unboxing dan foto packing tersebut kami butuhkan untuk proses investigasi lebih lanjut apabila produk yang diterima dalam keadaan rusak, kurang dll. Jika tidak ada video unboxing dan foto packing maka, untuk kendala kerusakan dan kurang produk yang pembeli terima, tidak dapat kami proses lebih lanjut."
VIP Store,"Pernah Beli Head Lamp dan Kecewa karena Barangnya Cepat Rusak dan Kualitasnya Tidak Bagus. Head Lamp ini DIJAMIN 100% Original Note : Kenapa  Anda harus membeli head lamp disini ? ✔️ Sumbu L9, bohlam LED, kecerahan tinggi, jarak jauh ✔️ Mode pencahayaan: 3 jenis (cahaya kuat, cahaya redup, flash SOS) ✔️ Zoom putar paduan aluminium, ukuran titik cahaya yang dapat disesuaikan, untuk melihat jauh dan dekat ✔️ Kapasitas baterai: baterai lithium 18650, 2400mAh / 4000mAh, tampilan daya ✔️ Metode pengisian daya: Pengisian langsung cepat USB ✔️ Bahan komponen yang ringan: aluminium alloy ✔️ Fitur: Bank daya, yang dapat mengisi daya ponsel dan perangkat lain ✔️ Ukuran: 44*83*87mm, Berat: 320g ✔️ Bahan Anyaman Elastis ✔️ Jarak efektif: 300-400m ✔️ Waterproof standar IPX4 Aksesoris: 1 lampu depan 1 ikat kepala 1 baterai 1 kabel pengisi daya USB Type-C 【Keuntungan yang di dapat 】 ⭐ Spesifikasi tertinggi untuk harga ini ⭐ Sumbu L9 lebih terang dan jangkauannya lebih panjang dari lampu depan lain yang ada di pasaran ⭐ Cahaya terang, cahaya redup, flash SOS dan mode pencahayaan lainnya, cocok untuk pendakian gunung di luar ruangan, berkuda di malam hari, dan pemandangan lainnya ⭐ Dapat digunakan sebagai bank daya, mengisi daya ponsel saat ponsel kehabisan daya, penggunaan darurat, lebih aman ⭐ Waterproof, aman untuk penggunaan saat cuaca hujan ⭐ Baterai lithium 18650, memberikan kecerahan yang cukup untuk penerangan cahaya yang kuat. KENAPA ANDA PASTI PUAS BELANJA DI TOKO Vip Living? ⚡ Respon Cepat & Profesional 🥇 Barang 100% Original & Ditest sebelum Kirim 🚚 Barang dikirim di hari yang sama, selama order sebelum jam 16.00 (Minggu/tgl merah libur yah)  📦 Packaging Super Aman (FREE bubble wrap & box) 👍 Apa yang Anda lihat & baca, itulah yang Anda dapatkan (kami memegang penuh prinsip kejujuran) 😊 CS kami tetap melayani dengan baik SETELAH pembelian "
Meval Official Store,"Catatan Penting : Pengiriman ke Luar Pulau Jawa seperti Sumatera, Kalimantan Sulawesi, Bali, dan Indonesia Timur WAJIB menggunakan eksedisi via JALUR DARAT. Penggunaan kurir lain tidak akan diproses karena barang mengandung baterai dan akan ditolak pihak keamanan bandara. Mohon dapat dimaklumi. MEVAL LED Head Lamp Tahan Air ini memiliki 2 keunggulan utama yaitu 1. Tahan Air dengan Rating IP67 sehingga tahan hujan dan juga bisa dipakai sambil menyelam dengan kedalaman maksimum di bawah 3 meter 2. Menggunakan Baterai Lithium Ion sehingga produk sangat ringan dan memudahkan pergerakan. Penggunaan Baterai Lithium juga memperpanjang durasi penggunaan sampai 18 Jam. Meval Head Lampmemberikan rasa aman dari kejadian seperti “Baterai Lampu Emergency cepat rusak”, “Ketika sudah dipakai berulang-kali, baterai tidak dapat disi penuh”, atau “Cahaya Lampu semakin lama semakin redup”.  Meval EML lebih awet dan tidak mudah rusak karena dilengkapi Perlindungan Overcharge yang berfungsi untuk memotong aliran listrik ketika pengisian baterai sudah selesai walaupun masih tersambung ke kontak listrik. Bebas dari khawatir jika lupa mencabut kontak listrik ketika ditinggal tidur pada malam hari. Spesifikasi Produk : - Jenis Produk : Head Lamp - Warna Lampu : Putih - Kapasitas : 3 Watt - Jenis Baterai : 3.7V 1.6Ah Lithium Ion - Voltage   : AC 220-240V 50/60Hz - Waktu Pengisian : 6 – 8 Jam - Durasi Penggunaan : 18 Jam (Pemakaian Daya Rendah) dan 4.5 Jam (Pemakaian Daya Tinggi) KEUNTUNGAN EML HEAD LAMP MEVAL : - Jarak tembak cahaya hingga 100 m dan penyebaran sudut hingga 90°. - Charger yang terpisah dengan produk memberikan kemudahan dalam pengisian ulang baterai - Memiliki 2 tipe daya yang dapat dipilih ketika digunakan yaitu daya rendah yang menghasilkan cahaya fokus pada jarak dekat dan daya tinggi yang menghasilkan cahaya luas untuk jarak jauh. #Meval #Lampu #LED  #Emergency #LampuEmergency #LampuKepala #HeadLamp"
Meval Official Store,"Catatan Penting : Pengiriman ke Luar Pulau Jawa seperti Sumatera, Kalimantan Sulawesi, Bali, dan Indonesia Timur WAJIB menggunakan eksedisi via JALUR DARAT. Penggunaan kurir lain tidak akan diproses karena barang mengandung baterai dan akan ditolak pihak keamanan bandara. Mohon dapat dimaklumi. Temukan kenyamanan beraktivitas dengan Meval LED Head Lamp Lithium yang didesain secara Elegan dan Ergonomis dengan memperhatikan bentuk dan ukuran kepala manusia. Keunggulan utama yaitu Meval LED Head Lamp ini menggunakan Baterai Lithium Ion sehingga produk sangat ringan dan memudahkan pergerakan. Penggunaan Baterai Lithium juga memperpanjang durasi penggunaan sampai 85 Jam. Meval LED Head lamp sangat cocok digunakan untuk camping, hiking, memancing, ataupun aktivitas malam hari di alam. Spesifikasi Produk : - Jenis Produk : Head Lamp - Warna Lampu : Putih - Kapasitas : 5 Watt - Jenis Baterai : 3.7V 3000mAh Lithium Ion - Voltage   : AC 220-240V 50/60Hz - Waktu Pengisian : 8 – 10 Jam - Durasi Penggunaan : Up to 85 Jam KEUNTUNGAN EML HEAD LAMP MEVAL : - Jarak tembak cahaya hingga 100 m dan penyebaran sudut hingga 90°. - Charger yang menyatu dengan produk memberikan kemudahan dalam pengisian ulang baterai sehingga tidak perlu repot membawa tambahan kabel isi ulang. - Memiliki 2 tipe daya yang dapat dipilih ketika digunakan yaitu daya rendah yang menghasilkan cahaya fokus pada jarak dekat dan daya tinggi yang menghasilkan cahaya luas untuk jarak jauh. #Meval #Lampu #LED  #Emergency #LampuEmergency #LampuKepala #HeadLamp"
