renters,description
Kintakun Sprei Bedcover,"DLUXE Selimut Hotel Polar Fleece Blanket dengan ukuran 145x180 cm, selimut lembut, halus yang cocok untuk dibawa kemana saja. Diproses dengan teknik knitting yang membuat selimut lebih ringan, tebal, elastis, hangat dan juga membuat sirkulasi udara lebih baik, cocok dipakai di segala musim. Dilengkapi dengan jahitan pinggir tricot binding & anti piling yang membuat selimut tidak berbulu, awet, kuat dan tidak mudah rontok. Kemasan yang compact membuat selimut ini cocok untuk dibawa kemana saja atau mudah untuk disimpan. Serbaguna, bisa untuk penggunaan sehari-hari, baik di dalam atau di luar ruangan. Kelebihan : - Ukuran selimut dan kemasan yang compact, membuatnya mudah untuk disimpan atau dibawa bepergian. - Diproses dengan teknik knitting sehingga selimut lebih bersirkulasi, jadi lebih elastis, tebal tapi tetap ringan. - Dengan jahitan pinggiran tricot binding, membuat selimut lebih awet, kuat dan tidak rontok. - Anti pilling yarn, membuat selimut tidak mudah berbulu. - Motif polos, cocok digunakan di segala ruangan. Ukuran : 145 x 180 cm Instruksi Perawatan : - Cuci sebelum digunakan - Mesin cuci suhu dingin, putaran rendah - Jangan gunakan pemutih - Jangan keringkan dengan mesin - Jangan disetrika."
Kintakun Sprei Bedcover,"Kintakun DLUXE bantal selimut mini quilting multifungsi 2 in1. Selimut lembut, empuk dan nyaman yang bisa dilipat jadi bantal. Terbuat dari 100% Microtex with Hi-Breath Technology yang membuatnya breathable & lebih sejuk di kulit. Dilengkapi karet lebar di bagian belakang sehingga bisa digunakan sebagai bantal leher mobil, bantal sandaran kepala (headrest), bantal selimut saat bepergian. Dengan isian fluffy dacron, sehingga empuk, dan nyaman digunakan. Dilengkapi dengan desain jahitan quilting yang membuat tampilannya lebih cantik. Warna tidak mudah luntur, meski dicuci berulang kali. Dilengkapi handle, travel friendly, mudah dibawa, mudah dilipat dan praktis.  Kelebihan : - Dilengkapi Teknologi Hi-Breath 3x lebih cepat menyerap keringat dan melepaskan kelembapan berlebih. Membuat kain lebih breathable sehingga lebih sejuk dan menjaga kulit tetap nyaman.  - Praktis & Multifungsi Dilengkapi karet lebar di bagian belakang sehingga bisa digunakan sebagai bantal leher mobil, bantal sandaran kepala (headrest), bantal selimut saat bepergian (nonton bioskop, saat mudik, atau hadiah). - Lembut & Empuk Isian bahan super fluffy dacron yang membuatnya empuk, dengan kain microtex yang lembut.  - Cocok untuk Traveling Mudah disimpan, mudah dilipat, praktis dilengkapi handle & karet di bagian belakang sehingga mudah dibawa kemana saja.  Bahan                         : 100% Microtex Disperse Isian                            :  4 0z Super Fluffy Dacron GSM/Thread Count    : 90/160 Instruksi Perawatan : - Cuci sebelum digunakan - Cuci dengan mesin dalam suhu normal dan kecepatan rendah  - Jangan gunakan pemutih - Dapat diproses dry cleaning - Setrika dengan suhu rendah."
Kintakun Sprei Bedcover,"Selimut dari koleksi premium Kintakun telah menerima sertifikasi Oeko-Tex Standard 100, sehingga aman untuk digunakan bahkan untuk kulit sensitif sekalipun. Terbuat dari bahan flanel berkualitas tinggi dengan gramasi yang lebih tebal sehingga lebih lembut, nyaman, hangat, dan empuk serta cocok digunakan di segala musim. Dengan desain unik stripes yang memberikan sirkulasi udara lebih baik, Anda akan merasakan sensasi tidur yang lebih sejuk dan nyaman. Tidak peduli musimnya, selimut ini menjadi teman tidur ideal, baik saat tidur siang di kantor, bersantai di sofa, atau menikmati momen TV di malam hari. Tersedia berbagai warna elegan dengan desain stripes yang memberikan kesan mewah sehingga kamar Anda tampak semakin bergaya.   Kelebihan : - OEKO-TEX Standard Telah tersertifikasi OEKO-TEX Standard 100, sehingga aman untuk digunakan bahkan untuk kulit sensitif sekalipun.  - Tebal & Super Lembut Terbuat dari bahan flanel polyester yang diproses khusus, dengan gramasi lebih tebal, sehingga menciptakan kehangatan & kelembutan ekstra. - Sirkulasi Udara Lebih Baik Dilengkapi desain unik stripes yang membuat sirkulasi udara lebih baik, sehingga lebih breathable, sejuk dan nyaman.  - Cocok untuk Semua Musim Selimut Luxury ini akan membuat Anda nyaman saat tidur siang di kantor, berbaring di sofa, atau menonton TV di malam yang dingin. Cocok untuk musim dingin atau panas. - Perawatan Mudah  Dapat dicuci dengan mesin dan dikeringkan untuk menghemat waktu & tenaga Anda. Warna tidak mudah luntur meski dicuci berulang kali. Ukuran : 160 x 200 cm Tinggi : 1 cm Bahan : 100 % Flannel Polyester Instruksi Perawatan : - Cuci dengan mesin dalam suhu dan kecepatan rendah.  - Jangan gunakan pemutih.  - Jangan gunakan mesin pengering. - Jangan disetrika. - Proses pencucian bisa menggunakan mesin cuci yang bisa diprogram sepenuhnya dan deterjen khusus untuk membersihkan pakaian."
TURU Bed Official,"TURU Thermal & Travel Blanket ( Selimut Hangat ) - Thermo Guard 100% Recycled Thermal Fabric Warna : Blue Bell or Scallop Shell Tersedia 2 ukuran :  120 x 140 (cocok buat travel, office) 140 x 200 (cocok buat rumah) Teknologi Thermo Guard TURU menjadikan blanket ini pilihan yang sangat baik untuk memberikan kehangatan dan kenyamanan dalam setiap kondisi. Thermal Blanket TURU juga menggunakan bahan yang ramah lingkungan dan dari hasil daur ulang namun tetap mengedepankan kualitas, sehingga blanket ini sangatlah lembut bagi kulit. (2x lebih lembut dari selimut thermal biasa) Cara Perawatan: Dapat dicuci dengan menggunakan mesin cuci dan dengan air dingin. Disarankan cuci terlebih dahulu sebelum digunakan TURU, The Sleep Company."
XABA,"XABA Sleeping Bag Liner - Amungme Salah satu koleksi terbaru dari XABA, berfungsi untuk jadi inner sleeping bag (digunakan lapisan dalam sebelum memakai sleeping bag universal) dan bisa digunakan untuk pertolongan pertama pada penderita hipotermia, terbuat dari bahan polyester thermal sangat bermanfaat untuk menghangatkan tubuh pada saat digunakan di cuaca dingin (0 c), terdapat zipper sebelah kanan yg dapat dibuka dari atas s/d pinggang memudahkan saat pemakaian. Weight : 260 gram Size Body :  -Big Size : Panjang 200 cm (badan 160 cm & penutup kepala 40 cm ) x Lebar 85 cm Size Packable : 14 x 15 x 2 cm Material : Polyester Thermal, one layer include packable in hoodie -Thermal anta (motiv segitiga) sold -Thermal omny (motiv bintik bulat) ready Ayo segera miliki XABA SB Liner ini sekarang juga, sebelum kehabisan ! #sleepingbag #sbliner #liner #sleepingbagliner #sleepingbagthermal #thermal #omnyheat #hipotermia #firstaid #p3k #xabaproduct"
Sabana Timur,"Thermal Blanket / Thermal Bivvy / Sleeping Bag Liner Green Savannah seri Anambas. Merupakan layering untuk sleeping bag mu, jika SB mu dirasa masih belum memberikan kehangatan secara maksimal maka bisa di double oleh Thermal Blanket Anambas ini. Cara penggunaan cukup mudah, pakai SB mu, kemudian pakai Anambas ini dijamin mampu memberikan kehangatan extra. Anambas mampu memerangkap suhu tubuh sebesar 5-10°C karena menggunakan Thermal WP Coating. Jika kamu ingin tidur di luar tenda menggunakan hammock. Anambas ini mampu mencegah SB mu basah karena embun karena memiliki rating WP dengan PU 950mm, cukup aman jika dibandingkan curah rata-rata hujan Indonesia. Bisa digunakan sebagai pertolongan pertama saat gejala awal hipotermia. Dapat digunakan berkali dan tidak mudah sobek jika dibandingkan thermal blanket sekali pakai yang lembaran. Spek. Anambas Thermal Blanket : Size 200x70 cm Packing Size 8x8x23 cm Single layer Waterproof non seal Rating WP PU 950 mm Thermal Type Coating TRAPS BODY HEAT OF 5-10°C Weight 185 gr Ultralight"
Sabana Timur,"Sleeping Bag Nano Fiber Green Savannah Camp Warmer 2.1 Camp Warmer menggunakan insulasi nanofiber sebesar 0.006mm menyerupai bulu angsa. Sehingga tidak menggunakan ukuran ""OZ"", tetapi ""fillweight"" karena secara kasat mata serupa dengan buluangsa. Specs. Camp Warmer 2.1: Size 195*80*50 [big size] Fw 500 Insulasi nano fiber 0.006mm Weight ±800 gram  YKK ZIPPER  Packing SB press Comfort 20 - 5°C Limit Temperature 0°C Inner Thermal by Cold Gear Infra Red [UNDER ARMOUR] Type bukaan kaki Weight 980gr (include packing) Green Savannah brand PERTAMA yang memberikan service SEPANJANG PEMAKAIAN jika: 1. Jahitan lepas. 2. Robek. 3. Ingin menambah isian nanofiber. Syarat service : 1. Simpan no.Invoice (utk pembelian Online) atau struk belanja (pembelian Offline) di toko-toko yang menjadi authorized partner. 2. Seluruh ongkir + biaya perbaikan / upgrade ditanggung sepenuhnya oleh konsumen. Green Savannah hanya melayani after sales berupa service perbaikan / upgrade (bukan penggantian unit baru). 3. Sertakan invoice (utk OL berupa screenshot/foto) atau struk (utk Offline) dalam pengiriman perbaikan/upgrade. 4. Barang yang kamu kirim akan masuk antrian perbaikan setelah sampai di workshop Green Savannah. 5. Besaran biaya tergantung service yang kamu ajukan untuk perbaikan / upgrade. 6. TIDAK MENERIMA SERVICE selain produk kami."
Sabana Timur,"greensavannah - seri Morotai Plus Design mengikuti lekuk tubuh, untuk memberi kehangatan extra. Memakai insulasi buluangsa plus tambahan insulasi fillow. Menjadikan Morotai, memiliki spek mumpuni di kelas ultralight. Rataan berat 300gram (tergantung outer yang digunakan 20D/30D) Spek: Dimensi (pxlxt) 200x80 x50 cm Inner Kathmandu Outer Nylon 20D/30D (tergantung stock) FW 300 FP 700 Comfort 5-20°C EXTREME 0°C Weigth 300gr Berat packing kami setel di 650gr free buble wrap dan kardus - selama persediaan ada. (Min.salah satu item pelindung packing terpenuhi) Green Savannah brand PERTAMA yang memberikan service SEPANJANG PEMAKAIAN jika: 1. Jahitan lepas. 2. Robek. 3. Ingin menambah isian bulang. Syarat service : 1. Simpan no.Invoice (utk pembelian Online) atau struk belanja (pembelian Offline) di toko-toko yang menjadi authorized partner. 2. Seluruh ongkir + biaya perbaikan / upgrade ditanggung sepenuhnya oleh konsumen. Green Savannah hanya melayani after sales berupa service perbaikan / upgrade (bukan penggantian unit baru). 3. Sertakan invoice (utk OL berupa screenshot/foto) atau struk (utk Offline) dalam pengiriman perbaikan/upgrade. 4. Barang yang kamu kirim akan masuk antrian perbaikan setelah sampai di workshop Green Savannah. 5. Besaran biaya tergantung service yang kamu ajukan untuk perbaikan / upgrade. 6. TIDAK MENERIMA SERVICE selain produk kami."
Clevamama,"Clevamama - Luxe Sherpa Baby Blanket Blue - Selimut Bayi Selimut Bayi Luxe Sherpa kami terbuat dari rajutan yang nyaman dan  lapisan sherpa yang lembut dan mewah di sisi lainnya. Ideal untuk di luar ruangan, hari yang lebih dingin dan pelukan yang nyaman. ● Tersedia dalam 3 warna : Merah Muda, Biru & Abu - Abu. ● Dapat digunakan dari newborn ● OEKO-TEX certified free of harmful chemicals ● Dimensions 75 x 100 cm"
Sprei Nyenyak Official,"Details: 50% Scuba / 50% Softboa Each set includes: blanket only Size: 100 cm x 150 cm Washing Instructions: Machine Wash, Cold Do Not Bleach  Do Not Tumble Dry Do Not Iron *non-printed fabric Made in Indonesia Salam Nyenyak, Happy Shopping Follow Toko Kami Sprei Nyenyak Official"
